watson_country_id,fao_name
8,Albania
12,Algeria
16,Amer Samoa
24,Angola
28,Antigua Barb
32,Argentina
36,Australia
44,Bahamas
48,Bahrain
50,Bangladesh
52,Barbados
56,Belgium
60,Bermuda
70,Bosnia Herzg
76,Brazil
84,Belize
86,Br Ind Oc Tr
90,Solomon Is.
92,Br Virgin Is
96,Brunei Darsm
100,Bulgaria
104,Myanmar
111,Eritrea
116,Cambodia
120,Cameroon
124,Canada
132,Cape Verde
136,Cayman Is
144,Sri Lanka
152,Chile
156,China Main
157,Taiwan
170,Colombia
174,Comoros
175,Mayotte
178,Congo Rep
180,Congo Dem Rep
184,Cook Is.
188,Costa Rica
191,Croatia
192,Cuba
196,Cyprus
204,Benin
208,Denmark
212,Dominica
214,Dominican Rp
218,Ecuador
222,El Salvador
226,Eq Guinea
233,Estonia
234,Faeroe Is
238,Falkland Is
242,Fiji
246,Finland
250,France
254,Fr Guiana
258,Fr Polynesia
262,Djibouti
266,Gabon
268,Georgia
270,Gambia
276,Germany
288,Ghana
292,Gibraltar
296,Kiribati
300,Greece
304,Greenland
308,Grenada
312,Guadeloupe
316,Guam
320,Guatemala
324,Guinea
328,Guyana
332,Haiti
340,Honduras
344,Hong Kong
352,Iceland
356,India
360,Indonesia
364,Iran
368,Iraq
372,Ireland
376,Israel
380,Italy
384,Cote d'Ivoire
388,Jamaica
392,Japan
400,Jordan
404,Kenya
408,Korea D P Rp
410,Korea Rep
414,Kuwait
422,Lebanon
423,Palestine
428,Latvia
430,Liberia
434,Libya
440,Lithuania
446,Macau
450,Madagascar
458,Malaysia
462,Maldives
470,Malta
474,Martinique
478,Mauritania
480,Mauritius
484,Mexico
492,Monaco
500,Montserrat
504,Morocco
508,Mozambique
512,Oman
516,Namibia
520,Nauru
528,Netherlands
532,NethAntilles
533,Aruba
534,Curaçao
540,New Caledonia
548,Vanuatu
554,New Zealand
558,Nicaragua
566,Nigeria
570,Niue
574,Norfolk I.
578,Norway
580,N Marianas
583,Micronesia
584,Marshall Is
585,Palau
586,Pakistan
591,Panama
598,Papua N Guin
604,Peru
608,Philippines
612,Pitcairn Is
616,Poland
620,Portugal
624,GuineaBissau
626,Timor Leste
630,Puerto Rico
634,Qatar
638,Reunion
642,Romania
643,Russian Fed
654,St Helena
659,St Kitts Nev
660,Anguilla
662,St Lucia
666,St Pier Mq
670,St Vincent
678,Sao Tome Prn
682,Saudi Arabia
686,Senegal
690,Seychelles
694,Sierra Leone
702,Singapore
704,Viet Nam
705,Slovenia
706,Somalia
710,South Africa
724,Spain
736,Sudan
740,Suriname
752,Sweden
760,Syria
764,Thailand
768,Togo
772,Tokelau
776,Tonga
780,Trinidad Tob
784,Untd Arab Em
788,Tunisia
792,Turkey
796,Turks Caicos
798,Tuvalu
804,Ukraine
810,Former USSR
818,Egypt
826,UK
830,Channel Is
833,Isle of Man
834,Tanzania
840,USA
850,US Virgin Is
858,Uruguay
862,Venezuela
876,Wallis Fut I
882,Samoa
887,Yemen
890,Yugoslavia
891,Serbia
892,Montenegro
999,Other nei
